,GRHL2,SNAI2,miR101,CDH1,ZEB1,NP63,SNAI1,miR200a,miR205,miR9,miR141,miR200b,miR30c,miR200c,CLDN7,TWIST2,FOXC2,miR34a,KLF8,ZEB2,TGFbeta,VIM,TCF3,OVOL2,TWIST1,GSC
GRHL2,0.46670113053324835,-0.36309720733117923,0.30442473426068006,0.49046363161042317,-0.638213940885085,0.025636433295840234,-0.33187245588207875,0.5956120150755345,0.025366592025998964,0.0,0.587304721897654,0.5187260272777154,0.0,0.5956120150755345,0.587304721897654,-0.37193227311574345,-0.3358699516365999,0.5605336669689154,-0.26013234847387806,-0.4649210290222231,-0.5440046411753916,-0.4783461006307146,-0.26929804991719314,0.3888253984129668,-0.3134395580964723,-0.4897296329469185
SNAI2,-0.5746583663801352,0.7573540455850006,-0.7277948423244662,-0.7784684111137461,0.6853208958589156,0.0,0.455102097531592,-0.6195866361292304,0.0,0.0,-0.6159300630469923,-0.8115169891875228,0.0,-0.6195866361292304,-0.6159300630469923,0.7907438472230248,0.4736166589758824,-0.5497763654091338,0.6658913128365815,0.6965929475607252,0.7136814313205283,0.7708009139544666,0.5435478423194231,-0.4319312763523184,0.6042065408585997,0.6412976925476903
miR101,0.5976946860214885,-0.5690161096282247,0.4833622636270647,0.5918662689336074,-0.7077305887354253,0.0,-0.3639514607289627,0.6515487779878704,0.0,0.0,0.6468801233536308,0.6399788910397358,0.0,0.6515487779878704,0.6468801233536308,-0.5093419401123115,-0.44782711712967666,0.5447820493896752,-0.5302209825973374,-0.7210459630510255,-0.5471143205752138,-0.5829261983191248,-0.33954653646841015,0.43741447134571915,-0.3921312779942575,-0.48264675863082196
CDH1,0.5086810265106421,-0.7930272524443464,0.6658913128365815,0.7098842858140939,-0.6159300630469923,0.0,-0.4086528430033133,0.5441880415598824,0.0,0.0,0.5416039101010829,0.7381828669812422,0.0,0.5441880415598824,0.5416039101010829,-0.7216955597440804,-0.4167016700279166,0.4825074912369483,-0.6004614216132169,-0.624639528576512,-0.6412976925476903,-0.7031643870542597,-0.47863980746947143,0.38457928772257405,-0.5435478423194231,-0.5628492604287851
ZEB1,-0.6960752407453068,0.5929038008246807,-0.5008720000390081,-0.7355348298324574,0.7444613229147656,0.0,0.4788378046450642,-0.7910189025305115,0.0,0.0,-0.7800832701424552,-0.7719698676457597,0.0,-0.7910189025305115,-0.7800832701424552,0.6464484629529161,0.48970685849719847,-0.7403610127834404,0.4439646176724744,0.6751355821278481,0.6428139618427793,0.7267105141634149,0.4517355964948928,-0.4877399554771576,0.5071152720244105,0.5757836430229661
NP63,0.2340942769735042,0.24891340827494585,-0.2602935668940756,-0.07173650077916491,-0.15509600297493675,0.021488900480480116,0.07433749250096643,0.11967351855703275,0.12175288539562781,0.0,0.15218132526495035,-0.05320213897548133,0.0,0.11967351855703275,0.15218132526495035,0.20484944141272604,0.08943067900541059,0.120341748448384,0.26394915216983666,-0.07449105902320098,-0.0897570064629534,0.04589170235492594,0.18222362306777548,0.17889341622039717,0.18000651367643478,-0.0892945089765267
SNAI1,-0.4630400636509645,0.5090632603171101,-0.4374725433565789,-0.529314708290604,0.539963286123567,0.0,0.1966436657111489,-0.49416946578350424,0.0,0.0,-0.4956574205470595,-0.48637288331475065,0.0,-0.49416946578350424,-0.4956574205470595,0.4557742569024209,0.39176927180913845,-0.464753374870841,0.3973565585705434,0.5373622504706497,0.4238960615131898,0.5202525140077003,0.29499537677443083,-0.3610921018850367,0.33521045091342366,0.3772182754764596
miR200a,0.6521939551775503,-0.6424690612114217,0.5246512174853588,0.6730511041281863,-0.7801932286822277,0.0,-0.46089371078632196,0.7169065896738802,0.0,0.0,0.7107775160480749,0.7050864686102181,0.0,0.7169065896738802,0.7107775160480749,-0.5840675301984384,-0.4856406908434604,0.6635564606813682,-0.46263198671612804,-0.7974812683348896,-0.6919523642247649,-0.6658377789360413,-0.44435073559461047,0.4632215820090321,-0.5069292881995162,-0.6182294381928891
miR205,0.657149844848411,-0.5546345480886815,0.46059964680685994,0.6904968347934736,-0.7978411240238932,0.0,-0.4501332805752769,0.734629189189373,0.0,0.0,0.7256633739036771,0.7199810055504605,0.0,0.734629189189373,0.7256633739036771,-0.5992729709165361,-0.45091137597624753,0.6928111627056964,-0.3966272013418771,-0.8222511263460202,-0.5990126481105337,-0.6835922229136583,-0.40064544798326923,0.46189355200590365,-0.4651941304725236,-0.5220879501616716
miR9,0.3170931127033703,-0.13594832025760004,0.07987830399392797,0.27276096071165384,-0.3815037720051368,0.0,-0.17365676951563389,0.5400444591678525,0.0,0.0,0.33770025871977283,0.4060266438988778,0.0,0.5400444591678525,0.33770025871977283,-0.11808888494296202,-0.1867519982170311,0.3125349791959139,-0.04175187097722309,-0.5872966679061216,-0.4250795891593371,-0.3909906798989083,-0.05927177995880286,0.2542192413864189,-0.09897374909132015,-0.3765007260688647
miR141,0.6521939551775503,-0.6424690612114217,0.5246512174853588,0.6730511041281863,-0.7801932286822277,0.0,-0.46089371078632196,0.7169065896738802,0.0,0.0,0.7107775160480749,0.7050864686102181,0.0,0.7169065896738802,0.7107775160480749,-0.5840675301984384,-0.4856406908434604,0.6635564606813682,-0.46263198671612804,-0.7974812683348896,-0.6919523642247649,-0.6658377789360413,-0.44435073559461047,0.4632215820090321,-0.5069292881995162,-0.6182294381928891
miR200b,0.6521939551775503,-0.6424690612114217,0.5246512174853588,0.6730511041281863,-0.7801932286822277,0.0,-0.46089371078632196,0.7169065896738802,0.0,0.0,0.7107775160480749,0.7050864686102181,0.0,0.7169065896738802,0.7107775160480749,-0.5840675301984384,-0.4856406908434604,0.6635564606813682,-0.46263198671612804,-0.7974812683348896,-0.6919523642247649,-0.6658377789360413,-0.44435073559461047,0.4632215820090321,-0.5069292881995162,-0.6182294381928891
miR30c,0.5041766081934986,-0.6697388803698971,0.5098542796854572,0.5855170399293064,-0.5962772017713266,0.0,-0.343724474724491,0.6417477545602022,0.0,0.0,0.536319167805068,0.6336047727423514,0.0,0.6417477545602022,0.536319167805068,-0.6026334724758475,-0.4377528824592403,0.4977969094123222,-0.4577316381760232,-0.7108545484689104,-0.5543240990617491,-0.5761805049733395,-0.42286632303410715,0.3972256815994405,-0.47399451544670324,-0.4911073781113542
miR200c,0.6521939551775503,-0.6424690612114217,0.5246512174853588,0.6730511041281863,-0.7801932286822277,0.0,-0.46089371078632196,0.7169065896738802,0.0,0.0,0.7107775160480749,0.7050864686102181,0.0,0.7169065896738802,0.7107775160480749,-0.5840675301984384,-0.4856406908434604,0.6635564606813682,-0.46263198671612804,-0.7974812683348896,-0.6919523642247649,-0.6658377789360413,-0.44435073559461047,0.4632215820090321,-0.5069292881995162,-0.6182294381928891
CLDN7,0.4394478545599939,-0.7244357581017791,0.6004614216132169,0.7375050657262541,-0.5416039101010829,0.0,-0.35992602451575684,0.4653592584481398,0.0,0.0,0.4640089512353381,0.6613260241391001,0.0,0.4653592584481398,0.4640089512353381,-0.6481349293162901,-0.3553029169783096,0.4122872710167281,-0.529493679677733,-0.5477569374833946,-0.5628492604287851,-0.631863800091022,-0.4092307692307693,0.3362526770172432,-0.47863980746947143,-0.48221289679242146
TWIST2,-0.6249469823665627,0.7037174427356148,-0.5693680037112081,-0.7277605525285338,0.7363060717483153,0.0,0.46320923026177424,-0.6764888033735384,0.0,0.0,-0.6720936851793432,-0.6667285898909571,0.0,-0.6764888033735384,-0.6720936851793432,0.6414072430991031,0.49177334220874014,-0.5896331848490997,0.5127231016519415,0.7490357178948486,0.5725121252157085,0.6182854847016607,0.5749672903146725,-0.467644584580751,0.6309969627363886,0.5047923278560219
FOXC2,-0.6346542877090089,0.53318833180873,-0.4439646176724744,-0.6719399132080518,0.7800832701424552,0.0,0.43499366973333187,-0.7206741916701448,0.0,0.0,-0.7108116081968573,-0.7037188887306879,0.0,-0.7206741916701448,-0.7108116081968573,0.5823307722435068,0.4374446591190654,-0.6780769207564001,0.3827087307023017,0.6084151415362167,0.5757836430229661,0.6639059087207245,0.39003455896447137,-0.44369030956208866,0.4517355964948928,0.5019248422492718
miR34a,0.6129584472612414,-0.6907256285599419,0.5506860164198374,0.6141305542422394,-0.722723799147355,0.0,-0.44912537578107925,0.6640350281515481,0.0,0.0,0.660444710738797,0.6545359770029198,0.0,0.6640350281515481,0.660444710738797,-0.7300337533062982,-0.49666295790130405,0.576836426275341,-0.4959828646973844,-0.6334511213809142,-0.5613764267672519,-0.6045937538891589,-0.46325414824003375,0.4579417418220856,-0.5171315807117154,-0.49578508831506163
KLF8,-0.4394478545599939,0.7244357581017791,-0.6004614216132169,-0.7375050657262541,0.5416039101010829,0.0,0.35992602451575684,-0.4653592584481398,0.0,0.0,-0.4640089512353381,-0.6613260241391001,0.0,-0.4653592584481398,-0.4640089512353381,0.6481349293162901,0.3553029169783096,-0.4122872710167281,0.529493679677733,0.5477569374833946,0.5628492604287851,0.631863800091022,0.4092307692307693,-0.3362526770172432,0.47863980746947143,0.48221289679242146
ZEB2,-0.5983295641676694,0.6905884381642398,-0.5764558856250326,-0.8150809496777589,0.7212022891017705,0.0,0.4418139765993705,-0.8513560865068263,0.0,0.0,-0.6467557829415944,-0.8423251011749624,0.0,-0.8513560865068263,-0.6467557829415944,0.625053629402777,0.4461189063343064,-0.6053980761542078,0.5108634862211578,0.8347454049919598,0.7340081415197109,0.8092420298001205,0.4010416123420516,-0.4394757258809155,0.46451228166354036,0.6565574792582873
TGFbeta,-0.5016859298414287,0.665318521194006,-0.5141075881072352,-0.5868266793605154,0.5945730915347747,0.0,0.4164443346116415,-0.5377145007538123,0.0,0.0,-0.5357451283176242,-0.6296357769348143,0.0,-0.5377145007538123,-0.5357451283176242,0.6036728710384406,0.4645480973909515,-0.540378007012818,0.46273194201907825,0.6014344073897531,0.5503495339554515,0.5776175840075857,0.4340266476882174,-0.3899604412435507,0.4841709667645754,0.5887086026809496
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF3,-0.4394478545599939,0.7244357581017791,-0.6004614216132169,-0.7375050657262541,0.5416039101010829,0.0,0.35992602451575684,-0.4653592584481398,0.0,0.0,-0.4640089512353381,-0.6613260241391001,0.0,-0.4653592584481398,-0.4640089512353381,0.6481349293162901,0.3553029169783096,-0.4122872710167281,0.529493679677733,0.5477569374833946,0.5628492604287851,0.631863800091022,0.4092307692307693,-0.3362526770172432,0.47863980746947143,0.48221289679242146
OVOL2,0.27907903458678807,-0.46040651507383756,0.40864408271447844,0.4687276708347066,-0.42927578275744027,-0.024142855294908547,-0.31936324574816555,0.4030216994722311,-0.02397412080359341,0.0,0.39015096461666865,0.4331178229660583,0.0,0.4030216994722311,0.39015096461666865,-0.4315701039015304,-0.3260413478318958,0.3980178015415056,-0.3733666568213951,-0.3635816422473098,-0.34414180180093895,-0.4575091626138522,-0.2994486422042687,0.15842816605712756,-0.33521325057559076,-0.3023462142845775
TWIST1,-0.6215195955009551,0.7007559390299283,-0.5571885569900706,-0.7238945249585902,0.7349982639562784,0.0,0.38200326349071634,-0.6754741567299137,0.0,0.0,-0.6708322455918172,-0.6651265391030257,0.0,-0.6754741567299137,-0.6708322455918172,0.6389034450882528,0.5723215551083485,-0.5831579960716519,0.5009169963442861,0.7482762948413937,0.56947561249475,0.7144093311220564,0.5531441552827021,-0.4632517605727629,0.5086888621811962,0.5017358825648314
GSC,-0.6138065709656793,0.5868803389864629,-0.5398472863794737,-0.615118885587872,0.726852027074706,0.0,0.4529391589284505,-0.6677215606838024,0.0,0.0,-0.66414385187267,-0.6561701778717104,0.0,-0.6677215606838024,-0.66414385187267,0.5287845914126102,0.5757636491343999,-0.5902818429923841,0.48457030398820355,0.7375605865866937,0.5634787328075372,0.6060875558608243,0.5338279520459522,-0.4611436767740435,0.588364350230655,0.49745236958085853
